,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
1,True, False, False,Unity,Released Apr 14 2013,First Person Shooter,Horror,Single Player,6.5,4 v, http://indiedb.com/games/kriegderlnder-apocalypse-2
5,True, True, True,Flixel,Released Sep 6 2015,Puzzle Compilation,Education,Single Player,8.0,1 v, http://indiedb.com/games/box-cooperation-2
6,True, False, False,Slick 2D / Slick AE,Released May 14 2014,Turn Based Tactics,Fantasy,Single & Multiplayer,4.0,1 v, http://indiedb.com/games/veridia-tactics
8,True, False, True,Ogre Engine,Released Mar 20 2015,Third Person Shooter,Sci-Fi,Single & Multiplayer,6.0,24 , http://indiedb.com/games/the-platform-shooter
10,True, False, False,Custom Built,Released Jan 1 2015,Fighting,Fantasy,Single Multiplayer & Co-Op,9.0,1 v, http://indiedb.com/games/grand-class-melee-2
16,True, False, True,Unity,Released Aug 8 2014,Arcade,Sci-Fi,Single Player,1.0,1 v, http://indiedb.com/games/its-time-to-get-out-from-the-solar-system
18,True, False, False,Quake Engine,Released 2012,First Person Shooter,Sci-Fi,Single & Multiplayer,9.6,35 , http://indiedb.com/games/no-bugs-allowed
20,True, True, True,Unity,Released Aug 17 2015,Platformer,Fantasy,Single Player,8.5,2 v, http://indiedb.com/games/try-die-repeat
24,True, False, False,GameMaker: Studio,Released Apr 22 2015,Platformer,Horror,Single Player,9.0,1 v, http://indiedb.com/games/burn-it-down
25,True, True, False,Custom Built,Released 2007,Third Person Shooter,Sci-Fi,Single Player,8.3,6 v, http://indiedb.com/games/devastro
27,True, False, False,XNA,Released Feb 20 2014,Role Playing,Horror,Single Player,9.0,36 , http://indiedb.com/games/survivalist
29,True, False, False,FPSC,Released Feb 15 2015,Adventure,Horror,Single Player,7.9,12 , http://indiedb.com/games/dead-darkness
30,True, False, False,Unreal Engine 4,Released Dec 15 2014,First Person Shooter,War,Single Player,4.5,2 v, http://indiedb.com/games/wolfenstein-3d-remake
31,True, False, False,Custom Built,Released Jan 8 2015,Adventure,Sci-Fi,Single Player,10.0,1 v, http://indiedb.com/games/grav-bitmonster
32,True, False, False,Custom Built,Released Nov 20 2014,Futuristic Sim,Sci-Fi,Multiplayer,9.0,1 v, http://indiedb.com/games/fractured-space
49,True, True, True,Unity,Released Jan 1 2015,First Person Shooter,War,Single & Multiplayer,9.5,2 v, http://indiedb.com/games/into-the-war
52,True, True, True,Unity,Released Sep 22 2013,Real Time Tactics,Horror,Single Player,8.0,20 , http://indiedb.com/games/conniption
55,True, False, False,GameMaker: Studio,Released May 20 2013,Adventure,Noire,Single Player,6.2,9 v, http://indiedb.com/games/samurai-jazz
56,True, False, False,Unity,Released Jan 25 2015,Arcade,Abstract,Co-op,10.0,1 v, http://indiedb.com/games/bear-with-us
78,True, True, True,Custom Built,Released 2004,Platformer,Anime,Single Player,9.5,316, http://indiedb.com/games/cave-story
82,True, True, True,Unity,Released Oct 29 2014,Tower Defense,Sci-Fi,Single Player,2.0,1 v, http://indiedb.com/games/def
84,True, True, True,Unity,Released Jan 18 2015,Adventure,Horror,Single Player,6.0,1 v, http://indiedb.com/games/the-static-speaks-my-name
93,True, False, False,GameMaker: Studio,Released 2012,Platformer,Abstract,Single Player,9.0,4 v, http://indiedb.com/games/invertical
95,True, False, False,Custom Built,Released 2012,Adventure,Horror,MMO,3.2,41 , http://indiedb.com/games/infestation-survivor-stories
96,True, False, False,Unreal Development Kit,Released May 30 2014,Adventure,Realism,Single & Multiplayer,6.2,13 , http://indiedb.com/games/the-stomping-land
107,True, False, False,Custom Built,Released Jan 14 2014,Arcade,Sci-Fi,Single Player,9.5,2 v, http://indiedb.com/games/quarries-of-scred
119,True, True, True,Unreal Development Kit,Released Oct 28 2013,Adventure,Horror,Single Player,8.8,5 v, http://indiedb.com/games/master-reboot
120,True, True, False,jMonkeyEngine,Released 2009,First Person Shooter,Sci-Fi,Single Player,9.8,15 , http://indiedb.com/games/grappling-hook
125,True, False, True,Cube 2,Released Jan 1 2014,First Person Shooter,Horror,Single & Multiplayer,8.3,10 , http://indiedb.com/games/revelade-revolution
128,True, True, True,Custom Built,Released 2001,Realistic Sim,Realism,Single Player,9.0,116, http://indiedb.com/games/uplink-trust-is-a-weakness
133,True, False, False,Custom Built,Released Jan 22 2015,Adventure,Abstract,MMO,9.9,7 v, http://indiedb.com/games/the-universal
138,True, True, True,Doom Engine,Released Aug 26 2014,Platformer,Antiquity,Single & Multiplayer,9.1,60 , http://indiedb.com/games/srb2
139,True, False, False,Haaf's Game Engine,Released Dec 11 2013,Puzzle Compilation,Fantasy,Single Player,7.0,1 v, http://indiedb.com/games/castle-halls
140,True, False, False,Haaf's Game Engine,Released Jan 6 2015,Puzzle Compilation,Medieval,Single Player,7.0,1 v, http://indiedb.com/games/castle-halls-2-cathedrals
145,True, True, True,Custom Built,Released 2012,Real Time Strategy,Abstract,Single Player,8.5,209, http://indiedb.com/games/reprisal
146,True, True, True,Unity,Released Jan 30 2015,Third Person Shooter,Horror,Single Player,8.2,31 , http://indiedb.com/games/project-night
150,True, False, False,Source,Released Jan 14 2015,First Person Shooter,Comedy,Single & Multiplayer,4.3,3 v, http://indiedb.com/games/house-living-simulator-2015
154,True, True, False,Unity,Released Nov 26 2014,First Person Shooter,Horror,Single Player,5.0,1 v, http://indiedb.com/games/escape
158,True, False, True,Unity,Released Apr 17 2014,Hack 'n' Slash,Medieval,Single Player,8.0,5 v, http://indiedb.com/games/heldric-legend-of-the-shoemaker
164,True, False, False,Unity,Released 2010,Third Person Shooter,War,Single & Multiplayer,9.0,150, http://indiedb.com/games/scud-storm
165,True, False, False,Unity,Released Dec 27 2014,Platformer,Comic,Single Player,10.0,2 v, http://indiedb.com/games/gustav-von-mustache
167,True, True, False,Unity,Released Aug 10 2014,Adventure,Horror,Single & Multiplayer,8.9,8 v, http://indiedb.com/games/slender-the-man-with-no-face
169,True, True, False,Unity,Released Dec 21 2014,Stealth,Comedy,Single Player,7.4,5 v, http://indiedb.com/games/five-nights-at-froodys
177,True, True, True,Unity,Released Jan 9 2015,Realistic Sim,Realism,Single Player,3.0,3 v, http://indiedb.com/games/scott-manning
190,True, True, False,Unity,Released Jan 20 2015,First Person Shooter,Abstract,Multiplayer,9.1,11 , http://indiedb.com/games/ratz-instagib-20
199,True, True, True,Unity,Released Jan 16 2015,Adventure,Horror,Single Player,9.0,1 v, http://indiedb.com/games/anoxemia
204,True, False, False,Custom Built,Released 2009,First Person Shooter,Sci-Fi,Single Player,2.0,1 v, http://indiedb.com/games/soldiers-of-doom
206,True, False, False,Unity,Released Jan 15 2015,Puzzle Compilation,Horror,Single Player,8.0,1 v, http://indiedb.com/games/maze-of-the-dead
209,True, False, False,Volatile3D II,Released 2012,First Person Shooter,War,Single Player,9.2,87 , http://indiedb.com/games/wolfram
215,True, False, False,Unity,Released Feb 1 2015,Puzzle Compilation,History,Single Player,10.0,1 v, http://indiedb.com/games/digredior-of-ars
217,True, False, False,Unity,Released Jan 14 2015,Adventure,Horror,Single Player,7.0,3 v, http://indiedb.com/games/the-shrekoning
219,True, False, False,RPG Maker XP,Released 2012,Role Playing,Sci-Fi,Single Player,8.7,3 v, http://indiedb.com/games/middens
220,True, False, False,RPG Maker XP,Released Sep 22 2013,Role Playing,Sci-Fi,Single Player,8.0,1 v, http://indiedb.com/games/gingiva
224,True, True, False,Adobe Flash Professional,Released Nov 25 2014,Turn Based Strategy,Sci-Fi,Multiplayer & Co-op,6.0,2 v, http://indiedb.com/games/the-fandom-strategy
237,True, False, False,Unity,Released Oct 19 2014,Adventure,Horror,Single Player,4.0,1 v, http://indiedb.com/games/patmos-cold
238,True, False, False,Unreal Engine 4,Released Feb 3 2015,Adventure,Horror,Single Player,6.3,3 v, http://indiedb.com/games/astray
241,True, True, True,Unity,Released Jul 26 2014,Adventure,Nature,Single Multiplayer & Co-Op,8.5,8 v, http://indiedb.com/games/islanded
243,True, False, False,Unity,Released Jan 12 2015,Realistic Sim,Nature,Single Player,7.0,1 v, http://indiedb.com/games/stranded-island-simulator
249,True, True, False,Unity,Released Jul 20 2013,Fighting,Fantasy,Single & Multiplayer,7.7,3 v, http://indiedb.com/games/runes-game
250,True, False, False,Unreal Development Kit,Released Dec 12 2014,Hack 'n' Slash,Medieval,Single & Co-op,10.0,1 v, http://indiedb.com/games/super-slash-n-grab
251,True, False, False,GameMaker: Studio,Released Dec 8 2014,Platformer,Sci-Fi,Single Player,8.0,1 v, http://indiedb.com/games/rockrocket
263,True, False, False,FPSC,Released Aug 26 2013,First Person Shooter,Horror,Single Player,7.0,2 v, http://indiedb.com/games/carfax
268,True, True, False,Unreal Development Kit,Released Nov 30 2014,Platformer,Comic,Single Player,10.0,3 v, http://indiedb.com/games/a-tribute-to-donkey-kong-country
271,True, True, False,Unity,Released Nov 14 2014,Role Playing,Fantasy,Single & Co-op,7.0,1 v, http://indiedb.com/games/journey-of-the-king
272,True, True, True,Cube,Released 2010,First Person Shooter,Fighter,Single & Multiplayer,8.4,12 , http://indiedb.com/games/acreloaded
275,True, True, True,LÖVE,Released Dec 9 2014,Racing,Sport,Multiplayer,8.0,3 v, http://indiedb.com/games/gridcars
276,True, True, False,Custom Built,Released 2011,Turn Based Strategy,War,Single & Multiplayer,9.1,34 , http://indiedb.com/games/unity-of-command
279,True, False, False,Unreal Development Kit,Released Mar 29 2014,First Person Shooter,War,Single & Co-op,10.0,2 v, http://indiedb.com/games/toy-wars-invasion
286,True, False, False,GoldSource,Released Apr 23 2013,First Person Shooter,Horror,Single & Co-op,9.3,282, http://indiedb.com/games/cry-of-fear
287,True, True, False,Unity,Released Nov 8 2013,Arcade,Horror,Single Player,8.8,58 , http://indiedb.com/games/the-very-organized-thief
288,True, False, False,Unreal Development Kit,Released 2012,First Person Shooter,Horror,Single Player,8.3,9 v, http://indiedb.com/games/dream-of-the-blood-moon
289,True, False, False,Unity,Released Jul 12 2013,First Person Shooter,Horror,Single Player,8.9,33 , http://indiedb.com/games/the-train
307,True, False, False,RPG Maker VX,Released 2008,Role Playing,Fantasy,Single Player,8.9,68 , http://indiedb.com/games/legionwood-tale-of-the-two-swords
309,True, True, False,Lightweight Java Game Library,Released Jun 6 2014,Arcade,Fantasy,Single Player,8.0,1 v, http://indiedb.com/games/concursion
311,True, True, True,jMonkeyEngine,Released 2011,First Person Shooter,Sci-Fi,Single & Multiplayer,8.6,109, http://indiedb.com/games/3079
312,True, True, True,jMonkeyEngine,Released 2012,First Person Shooter,Sci-Fi,Single Player,8.4,39 , http://indiedb.com/games/gentrieve-2
313,True, True, True,jMonkeyEngine,Released Feb 2013,First Person Shooter,Sci-Fi,Single & Co-op,8.8,165, http://indiedb.com/games/3089
315,True, True, True,jMonkeyEngine,Released Mar 16 2014,Adventure,Fantasy,Single & Multiplayer,9.1,24 , http://indiedb.com/games/risingworld
329,True, True, True,Source,Released Jan 22 2014,Tactical Shooter,War,Multiplayer & Co-op,9.2,97 , http://indiedb.com/games/insurgency
333,True, False, False,Custom Built,Released Sep 21 2015,Adventure,Horror,Single Player,9.5,4 v, http://indiedb.com/games/soma
334,True, False, False,Unity,Released Apr 29 2015,Tactical Shooter,Sci-Fi,Single Player,10.0,2 v, http://indiedb.com/games/subterrain
335,True, False, False,Custom Built,Released 2011,Role Playing,Fantasy,Single Player,2.0,3 v, http://indiedb.com/games/fall-of-angels
337,True, False, False,GameMaker: Studio,Released Jun 24 2015,Platformer,Medieval,Single Player,2.5,2 v, http://indiedb.com/games/urisis-the-darkthrone-urizen-shadows-of-the-cold
338,True, False, True,Custom Built,Released 2004,First Person Shooter,Sci-Fi,Single & Multiplayer,8.2,386, http://indiedb.com/games/alien-arena-2008
339,True, False, False,GameMaker: Studio,Released Jul 14 2015,Adventure,Comic,Single Player,10.0,1 v, http://indiedb.com/games/gobbo-goes
340,True, False, False,GameMaker: Studio,Released Jan 14 2015,Platformer,Sci-Fi,Single Player,7.5,2 v, http://indiedb.com/games/a-dead-worlds-dream
353,True, False, False,Multimedia Fusion,Released Aug 3 2015,Adventure,Horror,Single Player,3.0,1 v, http://indiedb.com/games/five-night-at-hads
359,True, False, False,Custom Built,Released Apr 13 2015,Role Playing,Fantasy,Single Player,8.0,1 v, http://indiedb.com/games/your-quest
372,True, False, False,Multimedia Fusion,Released Jan 6 2015,Platformer,Realism,Single Player,1.0,1 v, http://indiedb.com/games/the-jumper1
385,True, False, False,GameMaker: Studio,Released Feb 14 2014,Platformer,Abstract,Single Player,8.5,2 v, http://indiedb.com/games/tw
393,True, False, True,Unity,Released Dec 24 2014,Tower Defense,Medieval,Single Player,5.0,1 v, http://indiedb.com/games/kingdom-sostis
398,True, False, False,GameMaker: Studio,Released Dec 8 2014,Platformer,Abstract,Single Player,7.0,1 v, http://indiedb.com/games/mr-duck-and-the-room0
399,True, True, True,Unity,Released Jul 6 2014,Point and Click,Comic,Single Player,9.0,1 v, http://indiedb.com/games/catmouth-island
408,True, False, False,Adventure Game Studio,Released Jan 3 2015,Platformer,Realism,Single Player,6.0,2 v, http://indiedb.com/games/providence
413,True, False, False,Raycasting Game Maker,Released Jan 3 2015,First Person Shooter,Movie,Single Player,9.0,1 v, http://indiedb.com/games/punisher-war-zone
438,True, False, False,Custom Built,Released 2010,Rhythm,Abstract,Single & Multiplayer,9.0,21 , http://indiedb.com/games/phase-shift
440,True, False, False,Unity,Released Jan 5 2014,Adventure,Horror,Single Player,5.5,2 v, http://indiedb.com/games/screams-in-the-dark
441,True, False, False,Unity,Released Jul 16 2014,First Person Shooter,Sci-Fi,Single Player,1.0,1 v, http://indiedb.com/games/me-and-postapocalypse-2-scraping
443,True, True, True,Unity,Released 2011,Turn Based Strategy,Sci-Fi,Single & Multiplayer,8.0,91 , http://indiedb.com/games/battlemass
445,True, False, False,Custom Built,Released 2012,Platformer,Abstract,Single Player,8.7,121, http://indiedb.com/games/chester
446,True, True, False,Unity,Released Oct 26 2014,Roguelike,Fantasy,Single Player,8.3,3 v, http://indiedb.com/games/there-is-only-power
448,True, True, True,libGDX,Released 2011,Arcade,Comic,Single Player,8.8,4 v, http://indiedb.com/games/robo-miner
463,True, True, True,Unity,Released Jun 5 2014,Platformer,Realism,Single Player,10.0,1 v, http://indiedb.com/games/next-jump-game
464,True, False, False,GameMaker: Studio,Released Dec 26 2014,Adventure,Abstract,Single Player,9.0,2 v, http://indiedb.com/games/presentable-liberty
480,True, False, False,GameMaker: Studio,Released Mar 20 2013,First Person Shooter,War,Single Player,8.0,11 , http://indiedb.com/games/first-pixel-shooter
483,True, True, True,Unity,Released Dec 21 2014,Adventure,Horror,Single Player,10.0,1 v, http://indiedb.com/games/one-late-night-deadline
486,True, False, False,RPG Maker VX Ace,Released Dec 28 2014,Role Playing,Horror,Single Player,9.0,1 v, http://indiedb.com/games/the-amazing-adventureof-ash-afterparty
491,True, True, False,Unity,Released Mar 30 2013,Realistic Sim,Sci-Fi,Single Player,9.5,35 , http://indiedb.com/games/kerbal-space-program
492,True, False, False,Source,Released May 7 2014,Fighting,Fighter,Multiplayer,9.5,84 , http://indiedb.com/games/bladesymphony
493,True, False, False,Unity,Released Dec 12 2013,First Person Shooter,Horror,Single & Multiplayer,9.2,9 v, http://indiedb.com/games/7-days-to-die
494,True, False, False,Multimedia Fusion,Released Aug 19 2014,Adventure,Education,Single Player,7.6,15 , http://indiedb.com/games/the-escapists
495,True, True, True,Custom Built,Released Nov 4 2014,Arcade,Horror,Single & Co-op,9.2,13 , http://indiedb.com/games/the-binding-of-isaac-rebirth
502,True, False, False,Ogre Engine,Released Dec 15 2013,Third Person Shooter,Sci-Fi,Single Player,7.9,26 , http://indiedb.com/games/effing-dead
518,True, False, False,Unity,Released Dec 16 2014,Tower Defense,Fantasy,Single Player,3.0,1 v, http://indiedb.com/games/the-war-of-the-defender
523,True, True, True,Quake Engine,Released 2011,First Person Shooter,War,Single & Multiplayer,9.3,510, http://indiedb.com/games/nazi-zombies-portable
525,True, True, True,Unity,Released Mar 10 2013,Adventure,Horror,Single Player,8.3,24 , http://indiedb.com/games/ildefonse
529,True, False, False,Clausewitz Engine,Released 2011,Grand Strategy,War,Single & Multiplayer,9.3,6 v, http://indiedb.com/games/hearts-of-iron-iii-dies-irae-gtterdmmerung
530,True, True, False,Clausewitz Engine,Released 2011,Grand Strategy,History,Single Player,9.7,10 , http://indiedb.com/games/hearts-of-iron-iii-for-the-motherland
546,True, True, False,Custom Built,Released Apr 17 2013,Real Time Strategy,Realism,Single & Multiplayer,9.5,2 v, http://indiedb.com/games/machines-at-war-3
548,True, False, False,Ogre Engine,Released 2009,Hack 'n' Slash,Fantasy,Single Player,9.0,73 , http://indiedb.com/games/torchlight
554,True, False, False,Unreal Development Kit,Released Nov 14 2014,First Person Shooter,Medieval,Multiplayer,6.0,1 v, http://indiedb.com/games/wickland
556,True, True, True,Unity,Released Jul 15 2014,Adventure,Horror,Single Player,9.5,2 v, http://indiedb.com/games/whispering-willows
570,True, False, False,Unreal Development Kit,Released 2011,Party,Sci-Fi,Multiplayer,6.3,3 v, http://indiedb.com/games/synergy
585,True, True, True,Unity,Released Feb 13 2013,Roguelike,Fantasy,Single Player,7.3,104, http://indiedb.com/games/dungeon-prospector
586,True, True, True,Unity,Released Dec 31 2014,Adventure,Abstract,Single & Co-op,7.0,1 v, http://indiedb.com/games/buildanauts
589,True, False, False,The 3d gamemaker,Released 2010,Third Person Shooter,War,Single Player,6.0,3 v, http://indiedb.com/games/war-game
592,True, True, True,Custom Built,Released 2010,Platformer,Sci-Fi,Single Player,9.2,331, http://indiedb.com/games/vvvvvv
593,True, True, True,Adobe Flash Professional,Released 2012,Adventure,Antiquity,MMO,9.2,30 , http://indiedb.com/games/tribal-hero
594,True, True, True,Unity,Released Jun 19 2013,Arcade,Sci-Fi,Single Player,8.4,53 , http://indiedb.com/games/futuridium
595,True, True, True,Custom Built,Released Apr 23 2013,Arcade,Fantasy,Single Player,8.8,54 , http://indiedb.com/games/freedom-fall
596,True, True, True,Unity,Released Jul 2013,Hack 'n' Slash,Fighter,Single Multiplayer & Co-Op,8.2,24 , http://indiedb.com/games/iesabel
597,True, False, False,GameMaker: Studio,Released Dec 18 2013,Hack 'n' Slash,Medieval,Single Player,8.0,36 , http://indiedb.com/games/hero-siege
601,True, True, True,Unity,Released Aug 4 2014,Hack 'n' Slash,Medieval,Multiplayer,8.6,8 v, http://indiedb.com/games/crawl
603,True, True, True,Custom Built,Released Jul 29 2014,Roguelike,Fantasy,Single Player,9.0,2 v, http://indiedb.com/games/crypt-of-the-necrodancer
605,True, False, False,Custom Built,Released Dec 21 2014,Turn Based Strategy,Horror,Single Player,8.0,1 v, http://indiedb.com/games/the-text-based-zombie-survival
615,True, True, True,libGDX,Released Dec 11 2014,Platformer,Sci-Fi,Single Player,8.0,1 v, http://indiedb.com/games/run-or-die
620,True, True, True,Custom Built,Released Mar 29 2014,Real Time Strategy,Medieval,MMO,10.0,2 v, http://indiedb.com/games/jiun
623,True, True, False,Custom Built,Released Jul 8 2014,Tower Defense,Fantasy,Single Player,3.0,1 v, http://indiedb.com/games/gnumz-master-of-defense
624,True, False, False,Unknown,Released 2008,Role Playing,Medieval,Single Player,9.3,874, http://indiedb.com/games/mount-blade
625,True, True, True,Custom Built,Released Dec 11 2014,Role Playing,Medieval,Single & Multiplayer,8.2,20 , http://indiedb.com/games/mount-blade-warband-viking-conquest
627,True, False, False,CryENGINE 3,Released Nov 26 2014,Adventure,Abstract,Single Player,10.0,1 v, http://indiedb.com/games/nix
628,True, False, True,Ogre Engine,Released 2012,Tactical Shooter,War,Single & Multiplayer,9.5,519, http://indiedb.com/games/running-with-rifles
634,True, True, True,Custom Built,Released Nov 15 2014,Tower Defense,Sci-Fi,Single & Multiplayer,4.0,1 v, http://indiedb.com/games/fire-with-fire-online-tower-defense
636,True, False, False,Unity,Released Nov 30 2014,Arcade,Comic,Single Player,9.5,4 v, http://indiedb.com/games/pinball-planet
644,True, False, False,Custom Built,Released 2009,First Person Shooter,Horror,Single Player,7.5,2 v, http://indiedb.com/games/painkiller-resurrection
650,True, False, False,Custom Built,Released 2005,Racing,Realism,Single & Multiplayer,9.3,23 , http://indiedb.com/games/live-for-speed-s2
659,True, True, True,Unity,Released Aug 11 2015,First Person Shooter,Sci-Fi,Single Player,10.0,1 v, http://indiedb.com/games/bug-hunt
662,True, False, False,Unity,Released Dec 29 2014,Adventure,Horror,Single Player,7.7,6 v, http://indiedb.com/games/slender-the-gaze-of-horror
664,True, False, False,Unreal Engine 4,Released Jul 15 2015,Adventure,Comic,Single Player,8.4,26 , http://indiedb.com/games/dgu
665,True, False, False,GameGuru,Released Aug 7 2015,Platformer,Medieval,Single Player,8.0,1 v, http://indiedb.com/games/steve
669,True, True, True,Unity,Released Jun 21 2014,First Person Shooter,Horror,Single Player,8.7,31 , http://indiedb.com/games/slender-anxiety
674,True, True, True,Unity,Released May 27 2015,First Person Shooter,Comic,Single Player,7.0,1 v, http://indiedb.com/games/catlateral-damage
677,True, False, False,Dream Maker,Released Jul 2013,Role Playing,Fantasy,Multiplayer,7.9,11 , http://indiedb.com/games/azusa-rp
678,True, True, True,Unity,Released Feb 1 2015,First Person Shooter,War,Single Multiplayer & Co-Op,8.5,4 v, http://indiedb.com/games/combat-extreme-20
681,True, True, True,Custom Built,Released Nov 14 2014,Platformer,Horror,Single Player,8.0,10 , http://indiedb.com/games/this-war-of-mine
683,True, True, False,Unity,Released May 13 2015,Adventure,Realism,Single Player,6.0,1 v, http://indiedb.com/games/home-starts
699,True, False, False,Unity,Released 2012,Point and Click,Horror,Single Player,8.0,22 , http://indiedb.com/games/reperfection
712,True, True, True,Unity,Released Oct 29 2013,Car Combat,Sport,Single & Multiplayer,8.7,40 , http://indiedb.com/games/karboom
719,True, False, False,Unity,Released Dec 11 2014,Adventure,Horror,Single Player,5.6,5 v, http://indiedb.com/games/somethings-not-right
721,True, False, False,Custom Built,Released 2011,Real Time Strategy,Sci-Fi,Single & Multiplayer,8.6,20 , http://indiedb.com/games/star-twine
726,True, True, False,Unity,Released Dec 3 2014,Adventure,Abstract,Single Player,6.5,2 v, http://indiedb.com/games/i-am-bread
727,True, False, False,Blender Game Engine,Released Dec 11 2014,Adventure,Sci-Fi,Single Player,8.0,1 v, http://indiedb.com/games/sphered
731,True, False, False,Unity,Released Jan 6 2013,Arcade,Sci-Fi,Single Player,9.5,2 v, http://indiedb.com/games/solar-forge
738,True, False, False,GameMaker: Studio,Released 2011,Hack 'n' Slash,Fantasy,Single & Multiplayer,8.6,90 , http://indiedb.com/games/wanderlust-rebirth
740,True, False, False,GameMaker: Studio,Released 2011,Platformer,Comic,Single & Multiplayer,9.8,5 v, http://indiedb.com/games/incertitude
741,True, False, False,Custom Built,Released Mar 17 2013,Platformer,Abstract,Single Player,7.3,136, http://indiedb.com/games/boredom
743,True, True, True,Custom Built,Released Mar 15 2013,Point and Click,Horror,Single Player,9.4,14 , http://indiedb.com/games/the-last-door
747,True, True, False,Unity,Released Oct 16 2014,Tower Defense,Comic,Single Player,7.0,3 v, http://indiedb.com/games/santas-salvation
759,True, True, True,Unity,Released Dec 4 2014,First Person Shooter,Horror,Single Player,10.0,1 v, http://indiedb.com/games/lone
762,True, True, False,Unity,Released Jan 1 2014,Combat Sim,Sci-Fi,Single Multiplayer & Co-Op,9.6,12 , http://indiedb.com/games/from-the-depths
763,True, False, False,Raycasting Game Maker,Released Dec 7 2014,First Person Shooter,Horror,Single Player,9.5,2 v, http://indiedb.com/games/get-jinxed-one-more-time
765,True, True, True,Unity,Released Dec 4 2014,Tower Defense,Comedy,Single Player,4.0,1 v, http://indiedb.com/games/fat-chicken
768,True, True, True,Unity,Released Mar 31 2014,Turn Based Strategy,Sci-Fi,Single & Multiplayer,8.8,16 , http://indiedb.com/games/ufho2
787,True, False, False,FPSC,Released Apr 13 2013,First Person Shooter,Horror,Single Player,6.0,1 v, http://indiedb.com/games/black-asylum
789,True, True, True,Unity,Released Aug 31 2014,Platformer,Abstract,Single Player,6.0,1 v, http://indiedb.com/games/drew-and-the-floating-labyrinth
798,True, False, False,Unreal Engine 3,Released Dec 4 2014,Tower Defense,Medieval,Single Multiplayer & Co-Op,4.0,1 v, http://indiedb.com/games/dungeon-defenders-2
808,True, False, False,001 Game Creator,Released 2009,Third Person Shooter,Fantasy,Single Player,7.2,9 v, http://indiedb.com/games/thug-2
809,True, False, False,001 Game Creator,Released 2009,Third Person Shooter,Fantasy,Single Player,4.1,9 v, http://indiedb.com/games/thug
810,True, False, False,001 Game Creator,Released 2009,Third Person Shooter,Realism,Single Player,5.3,8 v, http://indiedb.com/games/final-step
811,True, False, False,001 Game Creator,Released 2009,Role Playing,Fantasy,Single & Multiplayer,6.7,14 , http://indiedb.com/games/freedom
812,True, False, False,001 Game Creator,Released 2010,Puzzle Compilation,Fantasy,Single Player,5.4,5 v, http://indiedb.com/games/the-line
813,True, False, False,001 Game Creator,Released 2010,Role Playing,Fantasy,Single Player,4.8,5 v, http://indiedb.com/games/alterna
814,True, False, False,001 Game Creator,Released 2010,Third Person Shooter,Horror,Single Player,5.2,6 v, http://indiedb.com/games/dark-fusion
819,True, False, False,GameMaker: Studio,Released Jun 21 2013,Arcade,Sci-Fi,Single Player,8.6,5 v, http://indiedb.com/games/syndemic
820,True, True, False,Unity,Released Apr 17 2013,Realistic Sim,Realism,Multiplayer,7.3,4 v, http://indiedb.com/games/vert
833,True, False, False,Ogre Engine,Released Jan 6 2014,Third Person Shooter,Sci-Fi,Single Player,8.0,6 v, http://indiedb.com/games/kromaia
847,True, True, False,Unity,Released 2012,Platformer,Abstract,Single Player,7.3,11 , http://indiedb.com/games/rotieer
850,True, True, False,Custom Built,Released 2012,Visual Novel,Anime,Single Player,6.5,2 v, http://indiedb.com/games/east-tower-akio
851,True, True, False,Custom Built,Released 2012,Visual Novel,Anime,Single Player,10.0,1 v, http://indiedb.com/games/east-tower-takashi
859,True, True, True,Unity,Released Jun 9 2014,Platformer,Fantasy,Single Player,10.0,1 v, http://indiedb.com/games/munin
862,True, True, True,Unity,Released Feb 1 2015,Roguelike,Sci-Fi,Single Player,9.0,1 v, http://indiedb.com/games/heart-slash
865,True, True, True,Unity,Released Oct 23 2014,Adventure,Horror,Single Player,8.0,1 v, http://indiedb.com/games/the-halloween-plague
866,True, True, True,Unity,Released 2011,Role Playing,Fantasy,Single Player,7.5,77 , http://indiedb.com/games/pitman
871,True, True, True,Unity,Released Dec 4 2014,Arcade,Sci-Fi,Single Player,10.0,1 v, http://indiedb.com/games/the-blue-planet-gemini
873,True, True, True,Custom Built,Released 2006,Fighting,Realism,Single & Multiplayer,8.7,53 , http://indiedb.com/games/toribash
877,True, True, True,Unity,Released Oct 22 2014,First Person Shooter,Fantasy,Single Player,8.0,2 v, http://indiedb.com/games/ziggurat
879,True, True, True,Unreal Development Kit,Released Mar 4 2014,First Person Shooter,Sci-Fi,Single Player,7.0,1 v, http://indiedb.com/games/tower-of-guns
884,True, True, False,Unity,Released Oct 31 2014,First Person Shooter,Horror,Single Player,1.5,2 v, http://indiedb.com/games/lewt-cave
891,True, False, False,The 3d gamemaker,Released Aug 9 2014,Car Combat,Comedy,Single Player,1.0,2 v, http://indiedb.com/games/roadkilling-spree
893,True, False, True,Custom Built,Released Nov 16 2013,Platformer,Comic,Single Player,7.0,25 , http://indiedb.com/games/plataforma
917,True, True, False,Unity,Released Mar 9 2013,Platformer,Sci-Fi,Single Player,8.2,25 , http://indiedb.com/games/6180-the-moon
929,True, True, False,Custom Built,Released Jul 1 2014,Role Playing,Horror,Single Player,8.0,1 v, http://indiedb.com/games/sunless-sea
942,True, True, False,Unity,Released Apr 3 2014,Turn Based Tactics,Medieval,Single & Multiplayer,3.0,1 v, http://indiedb.com/games/steamalot-epochs-journey
