,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
11184,True, False, False,Custom Built,Released 2010,Turn Based Strategy,Fantasy,Single & Multiplayer,10.0,2 v, http://indiedb.com/games/legio
11185,True, False, False,Custom Built,Released 2009,Realistic Sim,Realism,Single Player,7.5,2 v, http://indiedb.com/games/restaurant-empire-ii
11186,True, False, False,Custom Built,Released 2009,Turn Based Strategy,Fantasy,Single & Multiplayer,8.0,3 v, http://indiedb.com/games/elven-legacy
11188,True, False, False,Construct,Released 2010,Arcade,Comedy,Single Player,6.9,11 , http://indiedb.com/games/toilet-action
11190,True, False, False,Wintermute,Released 2010,Adventure,Horror,Single Player,8.0,1 v, http://indiedb.com/games/night-train
11191,True, False, True,Custom Built,Released 2010,Arcade,War,Single Player,8.3,3 v, http://indiedb.com/games/ac-130
11193,True, True, False,Unity,Released 2010,Adventure,Realism,MMO,10.0,3 v, http://indiedb.com/games/frnderliga-rum-everchanging-spaces
11194,True, False, False,Custom Built,Released 2010,Real Time Strategy,Comic,Single Player,1.0,1 v, http://indiedb.com/games/the-ultimate-mouse-avoider
11195,True, False, False,GameMaker: Studio,Released 2010,Alternative Sport,Horror,Single & Multiplayer,7.9,9 v, http://indiedb.com/games/zombie-run
11198,True, False, False,Custom Built,Released 2007,Turn Based Strategy,Sci-Fi,Single & Multiplayer,5.5,2 v, http://indiedb.com/games/lost-empire-immortals
11199,True, False, False,Custom Built,Released 2006,Real Time Strategy,War,Single & Multiplayer,9.8,4 v, http://indiedb.com/games/rush-for-berlin
11200,True, False, True,Custom Built,Released 2010,Racing,Comic,Single & Multiplayer,4.0,1 v, http://indiedb.com/games/superfly-dx
11201,True, False, False,Construct,Released 2010,Platformer,Comic,Single Player,5.0,2 v, http://indiedb.com/games/fly-pinko-fly
11203,True, False, False,Custom Built,Released 2009,Futuristic Sim,Sci-Fi,Single Player,5.7,3 v, http://indiedb.com/games/r0x
11204,True, False, False,Multimedia Fusion,Released 2009,Role Playing,Anime,Single Player,8.5,4 v, http://indiedb.com/games/butavx-justice-fighter
11207,True, False, False,GameMaker: Studio,Released 2010,Role Playing,Horror,Single Player,9.0,3 v, http://indiedb.com/games/project-outbreak-escape-from-the-dead
11208,True, False, True,Panda3d,Released 2010,Tactical Shooter,Sci-Fi,Multiplayer,10.0,2 v, http://indiedb.com/games/a3p-acquire-attack-asplode-pwn
11209,True, False, False,Custom Built,Released 2010,Platformer,Comic,Single Player,4.0,2 v, http://indiedb.com/games/papercut
11212,True, False, False,Unreal Development Kit,Released 2010,First Person Shooter,Sci-Fi,Single Player,5.5,4 v, http://indiedb.com/games/rift-hunter
11215,True, False, False,Unknown,Released 2006,Realistic Sim,Sci-Fi,Multiplayer,1.2,13 , http://indiedb.com/games/rise-the-vieneo-province
11216,True, False, False,GameMaker: Studio,Released 2010,Platformer,Comedy,Single Player,7.0,3 v, http://indiedb.com/games/adventures-of-gappu
11226,True, False, False,Custom Built,Released 2007,Real Time Strategy,Sci-Fi,Single Player,10.0,1 v, http://indiedb.com/games/ufo-extraterrestrials
11229,True, False, False,Ren'py,Released 2009,Adventure,Anime,Single Player,8.5,6 v, http://indiedb.com/games/the-stolen-diamond-ring
11235,True, True, True,Construct 2,Released Mar 15 2015,Point and Click,Horror,Single Player,9.9,15 , http://indiedb.com/games/antumbra
11236,True, True, False,Custom Built,Released Nov 18 2014,Futuristic Sim,Sci-Fi,Single Player,8.0,2 v, http://indiedb.com/games/the-last-journey
11241,True, False, True,Torque 3D,Released Jul 31 2014,First Person Shooter,Abstract,Multiplayer,9.2,5 v, http://indiedb.com/games/terminal-overload
11242,True, False, False,Unreal Development Kit,Released Mar 14 2015,Adventure,Fantasy,Single Player,8.6,5 v, http://indiedb.com/games/roonsehv
11251,True, False, False,Custom Built,Released Jun 29 2014,Turn Based Strategy,Fantasy,Single & Multiplayer,10.0,2 v, http://indiedb.com/games/spellforce-2-master-of-war-cardgame
11253,True, True, False,Unity,Released Apr 18 2015,Party,Comic,Single Player,8.0,1 v, http://indiedb.com/games/heroicube
11254,True, False, False,Adventure Game Studio,Released May 29 2015,Point and Click,Sci-Fi,Single Player,9.0,1 v, http://indiedb.com/games/camp-1
