No Score | General | great-invasions-the-darkages-350-1066-ad |
7.0 | Hunting | hunting-unlimited-2 |
6.1 | Horror | hydrophobia-prophecy |
No Score | Action Adventure | hyperspace-delivery-boy! |
5.9 | Horror | i-am-alive |
4.5 | Other Shooters | i-was-an-atomic-mutant! |
8.4 | General | i-of-the-dragon |
3.8 | Action Adventure | im-not-alone |
6.2 | General | i-zombie |
5.9 | Adventure Games | i-fluid |
8.3 | General | igi-2-covert-strike |
8.7 | WWII | il-2-sturmovik |
8.8 | WWII | il-2-sturmovik-1946 |
5.7 | Combat | il-2-sturmovik-battle-of-stalingrad |
6.9 | WWII | il-2-sturmovik-cliffs-of-dover |
8.5 | Combat | il-2-sturmovik-forgotten-battles |
8.4 | Combat | il-2-sturmovik-forgotten-battles---ace |
8.0 | Action | ibb-obb
 |
No Score | General | ice-age-dawn-of-the-dinosaurs |
8.3 | Western-Style | icewind-dale |
8.5 | PC-style RPG | icewind-dale-ii |
7.8 | Western-Style | icewind-dale-enhanced-edition |
7.8 | Western-Style | icewind-dale-heart-of-winter |
6.2 | Racing | ignite---the-race-begins |
8.1 | Scrolling | ikaruga |
8.2 | Historic | immortal-cities-children-of-the-nile |
8.5 | Historic | imperial-glory |
7.3 | Historic | imperium-romanum |
5.4 | Other Strategy Games | impire |
8.0 | Fantasy | impossible-creatures |
7.1 | General | in-cold-blood |
7.7 | Sci-Fi | incoming-forces |
6.9 | General | incredipede |
8.4 | Civilian | independence-war-2-edge-of-chaos |
8.1 | Modern | indiana-jones-and-the-emperors-tomb |
8.4 | Modern | indigo-prophecy |
8.6 | Business / Tycoon | industry-giant-ii |
7.7 | Formula One | indycar-series |
7.8 | Fantasy | infernal |
1.7 | Massively Multiplayer | infestation-survivor-stories |
7.4 | Sci-Fi | infested-planet |
4.8 | General | infinity-runner |
7.6 | 2D | injustice-gods-among-us---ultimate-edition |
7.9 | Role-Playing | inquisitor |
7.3 | Horizontal | insanely-twisted-shadow-planet |
6.5 | Action Adventure | insecticide-episode-1 |
8.6 | Modern | insurgency |
8.7 | Combat | interstate-76 |
No Score | Other Strategy Games | interstellar-trader-2 |
6.9 | Scrolling | intrusion-2 |
